,st,lower_leg_district,poverty_base,poverty_reform,deep_poverty_base,deep_poverty_reform,pct_chg,pct_chg_deep,child_poverty_base,child_poverty_reform,child_deep_poverty_base,child_deep_poverty_reform,child_pct_chg,child_pct_chg_deep
3570,42.0,027,0.13183360927232068,0.12322207023750821,0.04620676312538981,0.043886284094796814,0.06532127188465378,0.05021946731685109,0.14331923399520574,0.11680100278633768,0.03462014577310514,0.02605257731766437,0.18502911625773233,0.24747349452515982
3571,42.0,028,0.06148439815402854,0.05382531013167366,0.025869003768152758,0.022970913247808967,0.1245696185098471,0.11202945990180034,0.06268121814612711,0.046688998145046554,0.03280386118464891,0.024690691015181804,0.25513575635684527,0.24732363436727972
3572,42.0,029,0.06925109360478414,0.06589120882863857,0.03327040138580042,0.03282760701269506,0.048517425519955366,0.013308957952468139,0.06020325456699295,0.051275017145707334,0.02794438556019702,0.02680965147453083,0.14830157415078707,0.040606871932173105
3573,42.0,030,0.07208756262968799,0.06634938931002887,0.02600752885731728,0.024028053089998582,0.07960004625396992,0.07611164360053259,0.06032557772990924,0.046268556894600535,0.022620951908010018,0.016848489913431262,0.23301924928502224,0.2551820992349461
3574,42.0,031,0.07037753069215597,0.06605756680634747,0.030801087351200702,0.030080766248932772,0.061382714672169936,0.023386223156821435,0.05095385080093261,0.04392150199643191,0.01619800073627276,0.015310697665637772,0.1380140792886253,0.054778554778554686
3575,42.0,032,0.11315606143386658,0.10892705485427134,0.036509896917243295,0.030513862555310522,0.037373221778904515,0.16423038321702024,0.15042037969132188,0.13933814465473332,0.05177994538584748,0.03137033634745887,0.07367509016617595,0.39416049758845384
3576,42.0,033,0.07256440451699812,0.06631027320297782,0.027972788992012186,0.02494564272453927,0.08618731671056824,0.10821753484564368,0.08004047833142612,0.06487013937520487,0.03213056246221173,0.022613708957696346,0.18953333703735437,0.2961931810471109
3577,42.0,034,0.13044686714407328,0.12378736296854174,0.04485564694187643,0.03910443755676282,0.05105146885725035,0.1282159499910006,0.17009843102038133,0.15053795575573267,0.05584600435308937,0.036082923259720526,0.1149950363875191,0.3538853195013863
3578,42.0,035,0.14564145798105024,0.13156722532345164,0.048110678811461166,0.044753447937024474,0.09663616976032909,0.06978140731693264,0.1729752737958034,0.13349550842496233,0.04723508665702901,0.03892157430497627,0.228239357594235,0.17600290251220735
3579,42.0,036,0.13426158426015805,0.12298232497136655,0.04512031388299952,0.04308841067754491,0.08400957988798743,0.04503300244593812,0.15473392852806256,0.1182386406194253,0.03339481199790681,0.02601486480487456,0.23585834248381068,0.2209908291591767
3580,42.0,037,0.10051191197707722,0.08637778842496315,0.034611986890710135,0.0297926671623656,0.140621377845618,0.13923845931069745,0.11000951108467161,0.07066653413968252,0.026545986739584495,0.013322929997789949,0.35763250429054055,0.49811886337141736
3581,42.0,038,0.10696070832810782,0.095825359622131,0.03599122545261824,0.033965055885413584,0.10410690878952046,0.05629620947116882,0.11798639813230068,0.0857481358289867,0.03082355713921758,0.02520477639507617,0.27323710879930857,0.18228852428561834
3582,42.0,039,0.10033724170316569,0.093348023102154,0.0390035550637608,0.03632509134675162,0.06965727263749545,0.06867229699012256,0.1008090711129599,0.08284523516890278,0.03967088886841815,0.03137674526993482,0.17819662204731604,0.2090738028581524
3583,42.0,040,0.0768839773720223,0.07270436325495269,0.03224507317582151,0.030370266836582935,0.05436261572220044,0.05814241230019506,0.06768688629628188,0.056958444117567064,0.031956655730757594,0.024983668061101406,0.15850104452661368,0.2182014203365103
3584,42.0,041,0.10185967453484558,0.08473326557991422,0.03999604440396169,0.0385708782330931,0.16813728330805264,0.035632677983711385,0.07944037220317658,0.03644987620901043,0.012567017138978167,0.008557790306607712,0.5411668500773601,0.3190277205825827
3585,42.0,042,0.08279527083809585,0.0708410768553877,0.02376740961171513,0.023559524658097818,0.14438256994272403,0.008746639074829763,0.09150994503703631,0.05270749349715258,0.009490435570729339,0.00882206072659172,0.42402442187217393,0.0704261505340217
