Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
47,12,09505,Orange County (Central)--Orlando City (East Downtown) & Azalea Park PUMA,12,
47,12,09507,"Orange County (North Central)--Orlando (North), Winter Park & Maitland Cities PUMA",12,
141,36,01205,Erie County (West Central)--Buffalo City (East) PUMA,36,
5,36,03308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,36,
95,21,01100,Big Sandy Area Development District PUMA,21,
55,08,01001,Mesa County (Central)--Greater Grand Junction & Fruita Cities PUMA,08,
62,18,02700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA",18,
54,22,02000,South Central Planning & Development Commission 2--Lafourche & Assumption Parishes PUMA,22,
23,06,01906,Fresno County (Central)--Clovis City PUMA,06,
23,06,01902,Fresno County (North Central)--Fresno City (North) PUMA,06,
23,06,01907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA",06,
27,06,08513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA,06,
27,06,08510,Santa Clara County (Central)--San Jose City (Central) PUMA,06,
27,06,08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA,06,
27,06,08509,Santa Clara County (Central)--San Jose City (Northwest) PUMA,06,
27,06,08505,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA,06,
33,06,07104,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City PUMA",06,
33,06,07103,San Bernardino County (West Central)--Hesperia City & Apple Valley Town PUMA,06,
33,06,07102,San Bernardino County (West Central)--Victorville & Adelanto Cities PUMA,06,
33,06,07101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA,06,
32,06,02901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA",06,
32,06,03100,Kings County--Hanford City PUMA,06,
12,36,03301,Suffolk County (Northwest)--Huntington Town (North) PUMA,36,
78,28,01400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA",28,
12th Middlesex,25,03400,Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA,25,
62,06,03759,Los Angeles County (South Central)--Hawthorne City PUMA,06,
62,06,03749,Los Angeles County (Central)--Inglewood City PUMA,06,
62,06,03748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA,06,
59,06,03751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA,06,
59,06,03750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA,06,
59,06,03745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA,06,
59,06,03746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA,06,
150,36,02600,Chautauqua County PUMA,36,
122,20,01200,"Southwest Kansas--Dodge City, Garden City & Liberal City PUMA",20,
99,01,02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",01,
12,39,00907,"Cuyahoga County (Southeast)--Bedford, Garfield Heights & Maple Heights Cities PUMA",39,
12,39,00910,"Cuyahoga County (East)--Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities PUMA",39,
42,39,04604,Montgomery County (Southeast)--Kettering & Centerville Cities PUMA,39,
63A,27,01406,Hennepin County--Minneapolis City (Southeast) PUMA,27,
36B,27,01403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA",27,
05B,27,00300,"Itasca, Carlton (South), Cass & Aitkin Counties--Grand Rapids City PUMA",27,
39A,27,01201,"Washington County (North)--Oakdale, Forest Lake, Stillwater & Hugo Cities PUMA",27,
48A,27,01409,Hennepin County--Eden Prairie & Minnetonka Cities PUMA,27,
2,39,02200,Richland County PUMA,39,
40,39,04602,"Montgomery County (Northeast)--Huber Heights, Trotwood, Vandalia & Englewood Cities PUMA",39,
90,17,02601,DeKalb County PUMA,17,
88,12,09903,Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA,12,
17,17,03421,Cook County (North)--Niles & Evanston Townships PUMA,17,
17,17,03416,Cook County (Northeast)--Northfield & New Trier Townships PUMA,17,
47A,24,01103,Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA,24,
34,51,59308,Fairfax County (Northeast)--McLean & Idylwood PUMA,51,
135,48,04633,Harris County (Northwest)--South of US-290 & West of TX-6 PUMA,48,
135,48,04628,Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA,48,
75,48,03301,El Paso County (Outside El Paso City)--Socorro & Horizon Cities PUMA,48,
78,48,03306,El Paso City (Northwest) PUMA,48,
78,48,03305,El Paso City (North) PUMA,48,
48,15,00302,Honolulu County--Koolaupoko PUMA,15,
39,72,00901,Carolina Municipio (Norte) PUMA,72,
93,05,00100,Benton County PUMA,05,
29,37,01301,Durham County (South)--Durham City (South) PUMA,37,
25,28,00100,North Delta Region--DeSoto County--Southaven City PUMA,28,
37,05,00900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",05,
91,47,03208,Memphis City (Southwest) PUMA,47,
12,10,00102,New Castle County (North)--Hockessin PUMA,10,
2nd Worcester,25,00400,"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA",25,
44,26,02901,Oakland County (West) PUMA,26,
62,26,02000,Calhoun & Barry Counties PUMA,26,
2nd Essex,25,00702,Essex County (Central)--Amesbury Town City PUMA,25,
57,18,02500,Hancock & Shelby Counties PUMA,18,
19,04,00121,Phoenix (Southwest) & Tolleson Cities PUMA,04,
19,04,00133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA,04,
29,04,00123,Phoenix City--Maryvale (West) PUMA,04,
29,04,00124,Maricopa County--Glendale City (South) PUMA,04,
HD-009,45,00200,Anderson County--Anderson City PUMA,45,
44,39,00400,Toledo City (West) PUMA,39,
44,39,00500,Toledo City (East) PUMA,39,
123,36,02201,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,36,
114,12,08616,"Miami-Dade County (East)--Coral Gables City, Pinecrest Village & Kendall (South) PUMA",12,
143,36,01204,Erie County (Central) PUMA,36,
143,36,01203,Erie County (Northeast) PUMA,36,
85,39,02700,"Logan, Champaign & Hardin Counties PUMA",39,
78,36,03706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",36,
72,06,05914,Orange County (Northwest)--Huntington Beach City PUMA,06,
72,06,05913,Orange County (Northwest)--Garden Grove City (East) PUMA,06,
72,06,05912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA",06,
33,18,01500,"Henry, Randolph, Jay & Blackford Counties PUMA",18,
89,39,00600,"Ottawa, Wood (Northeast) & Lucas (East) Counties--Oregon City PUMA",39,
29,55,55102,St. Croix & Dunn Counties PUMA,55,
101,01,02702,Mobile City (West) PUMA,01,
2,16,00100,"Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties PUMA",16,
2,16,00200,"Kootenai County (Northwest)--Coeur d'Alene, Post Falls & Hayden Cities PUMA",16,
76,01,02000,Montgomery City & Pike Road Town (North) PUMA,01,
71,37,01802,Winston-Salem City (South) PUMA,37,
55,01,01301,Birmingham City (West) PUMA,01,
96,40,01003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,40,
108,48,02313,Dallas City (Downtown)--North of I-30 PUMA,48,
37,48,06703,Cameron County (South)--Brownsville City (Central) PUMA,48,
37,48,06701,Cameron County (East)--Brownsville City (North) PUMA,48,
45,40,00900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",40,
17,13,04500,Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA,13,
68,18,03100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA",18,
42,13,03001,Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City PUMA,13,
97,47,03202,Memphis City (Central Midtown) PUMA,47,
52,49,35006,"Salt Lake County--West Jordan (West), Herriman & South Jordan (West) Cities PUMA",49,
102,42,02500,Lebanon County PUMA,42,
84,19,02300,"Des Moines, Lee, Henry & Louisa Counties PUMA",19,
40,44,00101,Northwest Rhode Island--Providence County (West & Central)--Woonsocket City PUMA,44,
112,09,00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA",09,
43A,27,01302,"Ramsey County (Central & Far Southeast)--Maplewood, Roseville & North St. Paul Cities PUMA",27,
103,36,02702,Ulster County (East) PUMA,36,
116,12,08620,"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA",12,
59,36,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,36,
34,41,01324,Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA,41,
55,13,01003,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA,13,
65,13,01004,Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA,13,
4,32,00401,Clark County (Northwest Central)--Northwest Las Vegas Valley PUMA,32,
100,13,04006,Atlanta Regional Commission (Northeast)--Gwinnett County (Southwest)--Lilburn City PUMA,13,
84,13,01008,Atlanta Regional Commission (Central)--DeKalb County (South) PUMA,13,
84,13,02002,Atlanta Regional Commission--DeKalb County--Decatur & Avondale Estates Cities PUMA,13,
100,12,08604,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA,12,
38,13,03003,Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City PUMA,13,
60,36,04008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,36,
72,12,11502,Sarasota County (Central & Gulf Coast) PUMA,12,
72,12,11501,Sarasota County (North) PUMA,12,
41,36,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",36,
98,29,01808,St. Louis County (South) PUMA,29,
HD-069,45,00602,"Lexington County (North & East)--West Columbia, Cayce Cities, Irmo Town & Seven Oaks PUMA",45,
63,49,49003,Utah County (Central)--Provo City PUMA,49,
81,36,03701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",36,
49A,27,01408,"Hennepin County--Edina, St. Louis Park & Hopkins Cities PUMA",27,
80,26,00900,Allegan County PUMA,26,
117,12,08623,Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA,12,
12,16,00600,Canyon (East) & Ada (West) Counties--Nampa (Central & East) & Meridian (West) Cities PUMA,16,
61,19,00500,Black Hawk County--Waterloo & Cedar Falls Cities PUMA,19,
37,19,01600,Polk County (East)--Ankeny & Altoona Cities PUMA,19,
17,36,03207,Nassau County (Central)--Hempstead Town (Northeast) PUMA,36,
40,37,01206,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town PUMA,37,
28,34,01302,Essex County (Southeast)--Newark City (Southwest) PUMA,34,
37th Middlesex,25,01400,Middlesex (West Central) & Worcester (East) Counties PUMA,25,
75,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,26,
75,12,01500,Charlotte County PUMA,12,
29,35,00805,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter PUMA",35,
25,53,11506,Pierce County (East Central)--Puyallup City & South Hill PUMA,53,
35,13,03002,Atlanta Regional Commission--Cobb County (Northwest)--Kennesaw & Acworth Cities PUMA,13,
55,19,00400,"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties PUMA",19,
81,19,02200,"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA",19,
120,48,05902,San Antonio City (Northeast)--Inside Loop I-410 PUMA,48,
120,48,05913,"San Antonio (Northeast), Kirby & Windcrest Cities PUMA",48,
93,22,02401,Regional Planning Commission 7--New Orleans City (Central) PUMA,22,
32,53,11701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA",53,
1,39,02000,Wayne County PUMA,39,
40,13,03004,Atlanta Regional Commission (Northwest)--Cobb County (Southeast)--Smyrna City PUMA,13,
34,05,01000,Pulaski County (Central)--Little Rock City PUMA,05,
103,26,01300,"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA",26,
103,26,00400,Northwest Lower Peninsula (East) PUMA,26,
101,13,04003,Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA,13,
148,48,04601,Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA,48,
18,18,01400,"Grant, Miami & Wabash Counties PUMA",18,
Franklin-2,50,00100,"Northwest Vermont--Chittenden, Franklin & Grand Isle Counties--Burlington City PUMA",50,
162,42,03303,Delaware County (Southeast)--Chester City PUMA,42,
42,18,01600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA",18,
142,13,01400,Middle Georgia Regional Commission (Central)--Bibb County--Macon City PUMA,13,
34,01,00800,St. Clair & Blount Counties PUMA,01,
7,08,00812,Denver City (Northeast) PUMA,08,
114,20,01000,Central Kansas--Hutchinson City PUMA,20,
74,20,01301,Sedgwick (Northwest) & Harvey Counties--Wichita (Northwest) & Newton Cities PUMA,20,
68,42,00400,"Bradford, Tioga & Sullivan Counties PUMA",42,
65,47,02600,Williamson County--Franklin & Brentwood Cities PUMA,47,
65,42,00200,Crawford & Warren Counties PUMA,42,
Hillsborough County No. 9,33,00700,Outer Manchester City PUMA,33,
55,42,02003,Westmoreland County (East) PUMA,42,
55,42,02001,Westmoreland County (Northwest)--Murrysville Municipality & New Kensington City PUMA,42,
7,20,01500,Southeast Kansas PUMA,20,
42,17,03203,DuPage County (South Central)--Lisle Township PUMA,17,
46,41,01305,Portland City (Central East) PUMA,41,
104,13,04004,Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA,13,
42,41,01303,Portland City (Southeast) PUMA,41,
90,47,03201,Memphis City (Central Riverside) PUMA,47,
55,20,00801,Shawnee County (Central)--Topeka City PUMA,20,
70,36,03803,NYC-Manhattan Community District 10--Central Harlem PUMA,36,
70,36,03802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",36,
12B,27,00900,Stearns County--St. Cloud City PUMA,27,
45B,27,01404,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA",27,
31B,27,01103,"Anoka County (East)--Blaine, Lino Lakes & Ham Lake Cities PUMA",27,
86,18,02302,Marion County--Washington Township (South & East)--Indianapolis City (North) PUMA,18,
45,20,00700,Douglas County--Lawrence City PUMA,20,
61B,27,01407,Hennepin County--Minneapolis City (Southwest) PUMA,27,
9,34,00101,Atlantic County (East)--Atlantic City & Ventnor City PUMA,34,
9,34,01201,Ocean County (South) PUMA,34,
9,34,01202,Ocean County (Central)--Beachwood Borough PUMA,34,
63,42,01300,"Venango, Jefferson, Clarion & Forest Counties PUMA",42,
90,36,03106,Westchester County (Southwest)--Yonkers City PUMA,36,
10,36,03302,Suffolk County (Northwest)--Huntington Town (South) PUMA,36,
137,09,00103,"Norwalk, Westport & Darien Towns PUMA",09,
19,34,00907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,34,
19,34,00905,Middlesex County (Northeast)--Carteret Borough PUMA,34,
33A,27,01401,"Hennepin County (West)--Champlin, Rogers Cities & Lake Minnetonka PUMA",27,
55,39,00802,"Lorain County (South)--Avon, Avon Lake & North Ridgeville Cities PUMA",39,
97,36,03002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",36,
79,36,03705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",36,
22,28,00400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA",28,
97,37,02700,Lincoln & Cleveland (East) Counties PUMA,37,
40,10,00300,Sussex County PUMA,10,
127,48,04624,Harris County (Northeast)--Houston City (Far Northeast) PUMA,48,
2,53,11507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA",53,
34,19,01700,Des Moines City PUMA,19,
49,13,01005,Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA,13,
106,13,04005,Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA,13,
37A,27,01102,"Anoka County (Southwest)--Coon Rapids, Fridley & Columbia Heights Cities PUMA",27,
13,55,70201,Waukesha County (East) PUMA,55,
52,54,00300,Monongalia & Preston Counties--Morgantown City PUMA,54,
78,12,07104,Lee County (Central)--Greater Fort Myers City PUMA,12,
54B,27,01202,Washington County (South)--Woodbury & Cottage Grove Cities PUMA,27,
48,17,03202,DuPage County (Central)--Milton Township PUMA,17,
39,17,03522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA",17,
4,08,00813,Denver City (Northwest) PUMA,08,
1,08,00816,Denver City (Southwest) PUMA,08,
17,23,00800,South Maine--York (West) & Cumberland (West) Counties PUMA,23,
66,40,01204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",40,
36,26,03002,Macomb County (Central) PUMA,26,
70,28,01100,Central Region--Jackson City (East & Central) PUMA,28,
1,42,00101,"Erie City, Lawrence Park Township & Wesleyville Borough PUMA",42,
19B,27,02200,"Blue Earth, Nicollet & Waseca Counties--Mankato City PUMA",27,
28A,27,02600,"Winona, Wabasha, Fillmore & Houston Counties--Winona City PUMA",27,
17,08,04105,El Paso County (Central)--Colorado Springs City (South) & Security-Widefield PUMA,08,
16,32,00409,Clark County (Central)--Paradise (Northwest) & Winchester PUMA,32,
65A,27,01304,Ramsey County (Southwest)--St. Paul City (West) PUMA,27,
28,02,00102,Anchorage Municipality (South) PUMA,02,
120,12,08700,Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA,12,
120,12,08624,Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA,12,
120,12,08622,Miami-Dade County (Southwest)--South Miami Heights PUMA,12,
73,12,08103,Manatee County (South) PUMA,12,
73,12,08101,Manatee County (North) PUMA,12,
5th Hampden,25,01600,Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA,25,
10th Essex,25,00704,"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA",25,
28,41,01323,Washington County (Central)--Beaverton City (West) & Aloha PUMA,41,
123,48,05901,San Antonio City (Central) PUMA,48,
113,13,04300,Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA,13,
44,41,01301,Portland City (North & Northeast) PUMA,41,
30,17,03412,Cook County (South Central)--Bremen & Orland (East) Townships PUMA,17,
25th Middlesex,25,00506,Middlesex County (East)--Cambridge City PUMA,25,
16,16,00702,Ada County (Northeast)--Boise (North & West) & Garden City Cities PUMA,16,
13,17,03503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA",17,
78,17,03521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA",17,
37,17,03107,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA",17,
46,26,02902,Oakland County (Northeast) PUMA,26,
4,06,09503,Solano County (Northeast)--Vacaville & Dixon Cities PUMA,06,
4,06,05500,Napa County--Napa City PUMA,06,
4,06,11300,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA",06,
28,08,00819,Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge PUMA,08,
63,17,03601,"McHenry County (North, West & Central) PUMA",17,
121,20,00603,"Johnson County (Southwest)--Olathe, Gardner, Spring Hill & Edgerton Cities PUMA",20,
121,20,00601,"Johnson County (Northwest)--Shawnee, Lenexa & De Soto Cities PUMA",20,
46,17,03205,DuPage County (East Central)--York Township PUMA,17,
67,42,00300,"Clearfield, McKean, Elk, Potter & Cameron Counties PUMA",42,
26A,27,02500,Olmsted County--Rochester City PUMA,27,
184,42,03211,Philadelphia City (Southeast) PUMA,42,
56,26,03300,Monroe County PUMA,26,
69,18,03000,"Jefferson, Jennings, Decatur & Scott Counties PUMA",18,
98,09,00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA",09,
24,13,03300,Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA,13,
177,13,00600,Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA,13,
95,13,04001,Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA,13,
80,13,02004,Atlanta Regional Commission--DeKalb County (North)--Dunwoody City PUMA,13,
18,13,02300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,13,
91,18,02307,Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South) PUMA,18,
95,18,02303,Marion County--Lawrence Township--Indianapolis (Northeast) & Lawrence Cities PUMA,18,
98,13,04002,Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA,13,
75,09,00901,Waterbury Town PUMA,09,
56,17,03418,Cook County (Northwest)--Schaumburg Township (South & Central) PUMA,17,
17,06,07507,San Francisco County (South Central)--Bayview & Hunters Point PUMA,06,
17,06,07504,San Francisco County (Central)--Inner Mission & Castro PUMA,06,
17,06,07503,San Francisco County (Central)--South of Market & Potrero PUMA,06,
17,06,07502,San Francisco County (North & East)--North Beach & Chinatown PUMA,06,
19,17,03520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA",17,
8,44,00103,Providence City PUMA,44,
4,12,09100,Okaloosa County PUMA,12,
9,55,41005,Milwaukee City (South) PUMA,55,
9,55,41004,Milwaukee City (South Central) PUMA,55,
87,13,02003,Atlanta Regional Commission (Central)--DeKalb County (Northeast)--Tucker PUMA,13,
20,41,01104,Marion County (West Central)--Salem City (South) & Four Corners PUMA,41,
78,51,55001,Chesapeake City (Northeast) PUMA,51,
35,17,03410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA",17,
35,17,03411,Cook County (South Central)--Worth & Calumet Townships PUMA,17,
37,41,01319,"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA",41,
37,41,01320,"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA",41,
13,41,00703,Lane County (West Central)--Eugene City (West & South) PUMA,41,
2,21,00100,Purchase Area Development District PUMA,21,
33,53,11613,King County (Southwest Central)--Kent City PUMA,53,
33,53,11611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA",53,
48,54,00200,"Harrison, Marion, Taylor & Doddridge Counties PUMA",54,
57,08,00200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA",08,
63,28,01200,"Central Region--Hinds (West), Warren & Copiah Counties--Vicksburg City PUMA",28,
12,55,41001,Milwaukee City (North) PUMA,55,
66,13,04400,Atlanta Regional Commission (Southwest)--Douglas County PUMA,13,
54,05,00600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",05,
45,13,03005,Atlanta Regional Commission (Northwest)--Cobb County (Northeast) PUMA,13,
16,26,03204,"Wayne County (Central)--Westland, Garden City, Inkster & Wayne Cities PUMA",26,
52,39,05401,Butler County (Southeast)--Monroe City & Beckett Ridge PUMA,39,
Merrimack County No. 11,33,00400,Central New Hampshire--Merrimack County (Central)--Concord City PUMA,33,
16,36,03201,Nassau County (Northwest)--North Hempstead Town (North) PUMA,36,
29,36,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",36,
29,36,04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",36,
105,42,02401,Dauphin County (Central)--Harrisburg City & Colonial Park PUMA,42,
17,46,00500,Southeast South Dakota (Outside Sioux Falls City) PUMA,46,
32,12,06903,Lake (South) & Sumter (South) Counties PUMA,12,
53,36,04002,NYC-Brooklyn Community District 4--Bushwick PUMA,36,
07B,27,00500,"St. Louis County (Southeast)--Duluth, Hermantown & Proctor Cities PUMA",27,
13,42,03404,Chester County (South) PUMA,42,
83,47,03206,Shelby County (Southeast)--Collierville Town & Germantown City PUMA,47,
45,26,02903,Oakland County (East Central)--Troy & Rochester Area PUMA,26,
73,19,00800,"Clinton, Muscatine, Jones & Cedar Counties PUMA",19,
52,13,01001,Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA,13,
114,48,02307,Dallas City (Northeast)--East of US-75 PUMA,48,
114,48,02311,Dallas City (North)--South of I-635 & West of US-75 PUMA,48,
87,48,00200,Panhandle Regional Planning Commission--Potter County--Amarillo City (North) PUMA,48,
87,48,00100,Panhandle Regional Planning Commission (Outside Potter & Randall Counties) PUMA,48,
2,18,00101,Lake County (Northwest)--Hammond & East Chicago Cities PUMA,18,
7,18,00402,St. Joseph County (Outside South Bend City)--Mishawaka City PUMA,18,
4th Bristol,25,04200,"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA",25,
104,36,02901,Orange County (Northeast)--Greater Newburgh City PUMA,36,
74,12,11503,Sarasota County (East) PUMA,12,
85,12,09902,Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA,12,
85,12,09901,Palm Beach County (Northeast) PUMA,12,
82,12,08500,Martin County PUMA,12,
20,24,01007,Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA,24,
109,09,00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA",09,
29A,27,01800,Wright County PUMA,27,
87,55,00100,Northwest Wisconsin PUMA,55,
10,04,00209,Tucson City (Southeast) PUMA,04,
10,04,00206,Tucson City (Northeast) PUMA,04,
3,19,00100,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA",19,
15,04,00128,Phoenix City (North) PUMA,04,
17,04,00107,Maricopa County--Chandler City (South) PUMA,04,
17,04,00106,Maricopa County--Chandler City (Northeast) PUMA,04,
11,51,51044,"Roanoke Valley-Alleghany Regional Commission (Roanoke, Salem Cities & Vinton Town) PUMA",51,
45,41,01302,Portland City (East) PUMA,41,
120,36,00600,Oswego County PUMA,36,
34,18,02000,Delaware County--Muncie City PUMA,18,
32,42,01804,"Allegheny County (East)--Monroeville Municipality, Plum & Wilkinsburg Boroughs PUMA",42,
109,42,00803,Columbia & Luzerne (West) Counties--Bloomsburg Town & Berwick Borough PUMA,42,
49,51,01302,Arlington County (South) PUMA,51,
9,10,00104,"New Castle County (South)--Middletown Town, Bear & Glasgow PUMA",10,
17,44,00104,Providence County (Southeast)--Cranston & East Providence Cities PUMA,44,
107,37,03102,Charlotte City (Northwest) PUMA,37,
38,09,01101,New London County (South) PUMA,09,
66,17,03008,Kane County (Northeast)--Elgin (North & Central) & Dundee Townships PUMA,17,
100,29,01806,St. Louis County (Central West) PUMA,29,
124,48,05905,San Antonio City (West)--Inside Loop I-410 PUMA,48,
124,48,05908,San Antonio City (West)--Between Loop TX-1604 & Loop I-410 PUMA,48,
97,01,02701,Mobile City (East) PUMA,01,
38,29,00901,Clay County (Northeast) PUMA,29,
94,51,51175,Newport News City PUMA,51,
22,16,00800,Ada County (South)--Boise (South) & Kuna Cities PUMA,16,
133,48,04613,Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA,48,
6,06,06712,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA",06,
6,06,06102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA",06,
6,06,06101,Placer County (Southwest)--Roseville City PUMA,06,
37,06,11104,Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA,06,
37,06,11105,"Ventura County (North)--Santa Paula, Fillmore & Ojai Cities PUMA",06,
37,06,08302,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA",06,
4th Hampden,25,01901,Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA,25,
17,32,00403,Clark County (Central)--Greater North Las Vegas City PUMA,32,
69,29,01802,St. Louis County (Northwest) PUMA,29,
