Assembly District Number,STATEFIP,PUMA,PUMA Description,STATEFIP,STATE_CODE
84,05,00200,Washington County PUMA,05,
86,37,02100,Burke & McDowell Counties PUMA,37,
13,37,04100,"Lenoir, Onslow (North) & Jones Counties PUMA",37,
47,37,05100,Robeson County (West)--Lumberton City PUMA,37,
48,30,00700,Billings City PUMA,30,
13,34,01105,Monmouth County (Northwest)--Keansburg Borough PUMA,34,
13,34,01104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,34,
50,42,04002,Washington (South) & Greene Counties PUMA,42,
HD-057,45,01000,"Georgetown, Marion & Dillon Counties PUMA",45,
4,38,00100,West North Dakota--Minot City PUMA,38,
28,06,08507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA",06,
28,06,08511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,06,
28,06,08508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA,06,
74,06,05903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA",06,
74,06,05904,Orange County (Central)--Irvine City (Central) PUMA,06,
74,06,05918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA,06,
91,21,02200,Bluegrass Area Development District (Southeast) PUMA,21,
7,04,00800,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA",04,
7,04,00300,Navajo & Apache Counties PUMA,04,
15B,27,01000,Sherburne & Benton Counties PUMA,27,
43,39,04601,Montgomery County (West)--Miamisburg & West Carrollton Cities PUMA,39,
4,53,10503,Spokane County (East Central)--Greater Spokane Valley City PUMA,53,
69,12,10308,Pinellas County (South Central)--St. Petersburg City (West) PUMA,12,
59,17,03310,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA",17,
109,17,00700,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA",17,
14,24,01006,"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA",24,
4,51,51010,LENOWISCO & Cumberland Plateau Planning District Commissions PUMA,51,
69,49,13001,Southeast Utah & Uintah Basin Region PUMA,49,
4,48,01400,Kaufman County PUMA,48,
HD-042,45,00400,"Cherokee, Newberry, Chester & Union Counties PUMA",45,
HD-041,45,00603,Richland (North) & Fairfield Counties--Forest Acres City & Dentsville PUMA,45,
51,20,00300,"Riley, Geary & Pottawatomie Counties--Manhattan City PUMA",20,
148,36,02500,Cattaraugus & Allegany Counties PUMA,36,
61,06,06508,Riverside County (Northwest)--Moreno Valley City PUMA,06,
61,06,06510,Riverside County (Northwest)--Riverside City (East) PUMA,06,
25,06,08506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA",06,
25,06,08503,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA,06,
25,06,08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,06,
25,06,00109,Alameda County (South Central)--Fremont City (East) PUMA,06,
25,06,00108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA",06,
13,06,07703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA",06,
13,06,07702,San Joaquin County (Central)--Stockton City (South) PUMA,06,
13,06,07701,San Joaquin County (Central)--Stockton City (North) PUMA,06,
52,06,07113,San Bernardino County (Southwest)--Ontario City PUMA,06,
52,06,07115,San Bernardino County (Southwest)--Fontana City (West) PUMA,06,
52,06,03712,Los Angeles County (East Central)--Pomona City PUMA,06,
138,13,01800,River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties) PUMA,13,
14,56,00300,Laramie & Albany Counties PUMA,56,
47,22,00900,Imperial Calcasieu Regional Planning & Development District 2 (South) PUMA,22,
47,22,01100,Acadiana Regional Development District 2--Acadia & Vermilion Parishes PUMA,22,
19,39,04101,"Columbus (Far Northeast), Gahanna & New Albany Cities PUMA",39,
80,55,00103,Dane County (West) PUMA,55,
51,55,00800,"Grant, Green, Iowa, Richland & Lafayette Counties PUMA",55,
81,55,01000,Sauk & Columbia Counties PUMA,55,
35,53,11802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,53,
5,12,00500,"Walton, Washington, Holmes & Bay Counties PUMA",12,
7,12,06300,Apalachee Region (Outside Leon County) PUMA,12,
7,12,12100,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA",12,
61,17,03307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships PUMA",17,
49,08,00102,Larimer County (South)--Loveland City PUMA,08,
49,08,00103,Larimer County (North)--Fort Collins City PUMA,08,
29A,24,01500,St. Mary's & Calvert Counties PUMA,24,
54,51,51120,George Washington Regional Commission (South) PUMA,51,
88,51,51115,George Washington Regional Commission (North) PUMA,51,
70,48,01905,Collin County (Central)--McKinney City PUMA,48,
70,48,01907,Collin County (East) PUMA,48,
70,48,01906,Collin County (Northwest)--Frisco City (East) & Prosper Town PUMA,48,
58,48,02102,Johnson County PUMA,48,
17,48,05100,"Capital Area COG (East)--Bastrop, Caldwell, Fayette & Lee Counties PUMA",48,
139,48,04611,Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA,48,
139,48,04626,"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA",48,
38,40,01400,"Garfield, Kay & Noble Counties--Enid City PUMA",40,
5,15,00200,Hawaii County PUMA,15,
6,05,01900,South Central Arkansas PUMA,05,
21,05,01500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",05,
31,05,01200,Saline County PUMA,05,
53,37,03800,Harnett County PUMA,37,
30,48,06500,Coastal Bend COG (Northeast) PUMA,48,
30,48,05600,Golden Crescent Regional Planning Commission (Southeast)--Victoria & Calhoun Counties PUMA,48,
30,48,05500,Golden Crescent Regional Planning Commission (North) & Wilson & Karnes Counties PUMA,48,
26,04,00103,Maricopa County--Mesa City (West) PUMA,04,
26,04,00109,Maricopa County--Tempe City (North) PUMA,04,
8,04,00805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA",04,
8,04,00803,Pinal County (North)--Apache Junction City PUMA,04,
8,47,01700,Blount County PUMA,47,
125,29,01200,"Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties PUMA",29,
3,30,00100,Northwest Montana--Kalispell City PUMA,30,
100,42,03503,Lancaster County (East)--Ephrata Borough PUMA,42,
20,16,00701,Ada County (Central)--Meridian (Northeast) & Boise (Far West) Cities PUMA,16,
32,32,00103,Washoe County (North)--Sparks City PUMA,32,
21,34,01902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,34,
8,34,02003,Burlington County (South & East) PUMA,34,
8,34,02002,Burlington County (West Central) PUMA,34,
5,42,02701,Berks County (Northwest)--Wyomissing Borough PUMA,42,
5,42,02703,Berks County (East) PUMA,42,
159,13,00300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA",13,
42,06,06507,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA",06,
42,06,07105,San Bernardino County (Southwest)--Redlands & Yucaipa Cities PUMA,06,
67,06,06504,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA,06,
67,06,06505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA",06,
67,06,06509,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA",06,
85,21,00700,Lake Cumberland Area Development District (East) PUMA,21,
61,21,02600,Northern Kentucky Area Development District (Southeast) PUMA,21,
90,21,00800,Cumberland Valley Area Development District (North) PUMA,21,
13,04,00700,Yuma County--Yuma City PUMA,04,
1,22,00200,Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA,22,
1,22,00100,Coordinating & Development Corporation 1--Shreveport City (North) PUMA,22,
