Senate District Number,STATEFIP_x,PUMA,PUMA Description_x,Assembly District Number,STATEFIP_y,PUMA Description_y,STATEFIP_y
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
15,18,01002,Allen County (Central)--Fort Wayne City (North) PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,16,34,Somerset County (South) PUMA,34
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,29,29,Jackson County (North Central) PUMA,29
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
48,13,01002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,16,34,Somerset County (South) PUMA,34
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,53,35,"Doña Ana County (Central)--Las Cruces, Mesilla Cities & University Park PUMA",35
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,58,08,"Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties PUMA",08
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,75,26,Kent County (Central)--Grand Rapids City Area PUMA,26
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,29,29,Jackson County (North Central) PUMA,29
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,39,24,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,24
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,82,40,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,40
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,33,72,"Gurabo, San Lorenzo, Juncos & Las Piedras Municipios--Carr 30 PUMA",72
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,85,18,Allen County (Central)--Fort Wayne City (North) PUMA,18
29,26,01002,Kent County (Central)--Grand Rapids City Area PUMA,50,13,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,13
47,40,01002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,16,34,Somerset County (South) PUMA,34
