state_fip,puma,lower_leg_district,population,puma_pop,share_of_puma_pop
2,101.0,018,8480.80142901936,134513.9999999999,0.06304772312933499
2,101.0,019,18097.033853287605,134513.9999999999,0.13453643377854807
2,101.0,020,16607.49350649351,134513.9999999999,0.12346293699164042
2,101.0,021,2108.783482161267,134513.9999999999,0.015677055787213734
2,101.0,025,6.369000000000001,134513.9999999999,4.7348231410856895e-05
2,101.0,027,7779.999999999998,134513.9999999999,0.05783784587477886
2,102.0,016,4853.163887100266,159016.9999999999,0.03051978019394322
2,102.0,017,12509.836112899737,159016.9999999999,0.07866980330970741
2,102.0,018,7948.165269337594,159016.9999999999,0.04998311670662632
2,102.0,021,15440.204620143188,159016.9999999999,0.09709782362982068
2,102.0,022,18650.34803785833,159016.9999999999,0.1172852464696123
2,102.0,023,17934.439949358133,159016.9999999999,0.11278316123029702
2,102.0,024,18066.016419077398,159016.9999999999,0.11361059772903154
2,102.0,025,17756.362694300522,159016.9999999999,0.11166329822786578
2,102.0,026,18310.449638440437,159016.9999999999,0.11514774922455114
2,102.0,027,10349.95541401274,159016.9999999999,0.06508710020949172
2,102.0,028,17198.05795747165,159016.9999999999,0.10815232306905337
2,200.0,007,22561.876748383052,163832.99999999974,0.1377126509822996
2,200.0,008,19070.25419496659,163832.99999999974,0.11640056762048318
2,200.0,009,9736.54120426155,163832.99999999974,0.059429670483123455
2,200.0,010,20017.32195049292,163832.99999999974,0.12218125744198635
2,200.0,011,21270.94130887901,163832.99999999974,0.12983306970438827
2,200.0,012,12712.064593016932,163832.99999999974,0.07759159994028647
2,200.0,029,17644.940569919836,163832.99999999974,0.107700771944113
2,200.0,030,20028.139958443346,163832.99999999974,0.12224728814367909
2,200.0,031,19332.893978611286,163832.99999999974,0.11800366213529213
2,200.0,032,1458.0254930254926,163832.99999999974,0.00889946160435013
2,300.0,001,16623.502004018315,167053.00000000015,0.09951034703967185
2,300.0,002,18527.681187216098,167053.00000000015,0.11090900006115473
2,300.0,003,18679.03256056047,167053.00000000015,0.11181500817441443
2,300.0,004,18215.221774851347,167053.00000000015,0.1090385792224703
2,300.0,005,17632.935557927638,167053.00000000015,0.10555294162887001
2,300.0,006,15567.196714638683,167053.00000000015,0.09318717242215746
2,300.0,009,9132.123041434077,167053.00000000015,0.05466602240866114
2,300.0,032,3023.3071593533473,167053.00000000015,0.018097892042365865
2,300.0,033,18268.047896440126,167053.00000000015,0.1093548029454132
2,300.0,034,17583.95210355987,167053.00000000015,0.10525972058903375
2,300.0,036,13799.999999999998,167053.00000000015,0.08260851346578622
2,400.0,006,2336.3545928297485,104363.00000000016,0.02238680943274671
2,400.0,032,14099.999999999998,104363.00000000016,0.1351053534298552
